comments,date_created,days_posted,likes,slide_id,total_images,total_slides,tweets,url,views
63,2014-04-27,839,484,34003504,52,19,538,http://www.slideshare.net/ryanholiday/achieving-apatheia-7-steps-to-controlling-your-perceptions-like-a-stoic,298599
0,2013-10-27,1021,14,27621618,115,87,2,http://www.slideshare.net/ahmedhawari35/ss-27621618,3689
0,2014-12-07,615,9,42438814,92,64,25,http://www.slideshare.net/Tracxn/tracxn-india-consumer-digital-startup-landscapenov2014,8503
10,2009-04-02,2690,12,1242465,43,10,0,http://www.slideshare.net/mrsdurff2/input-output-ppt,50400
0,2016-03-11,155,16,59443552,43,15,5,http://www.slideshare.net/sparksandhoney/future-of-food-59443552,4931
0,2008-05-02,3025,1,385553,35,11,0,http://www.slideshare.net/viswanadhamvangapally/20080105-becoming-a-better-mba-student,504
1,2012-03-12,1615,5,11970358,48,19,1,http://www.slideshare.net/AsmaaHassan3/using-humor-to-maximize-learning-11970358,2300
0,2009-11-18,2460,1,2532800,43,19,0,http://www.slideshare.net/gueste8237f/inglish-work-comic-2532800,527
0,2008-05-02,3025,1,385559,60,36,0,http://www.slideshare.net/viswanadhamvangapally/20080108-becoming-better-36s-absc,608
0,2014-11-11,641,6,41398519,63,35,12,http://www.slideshare.net/elephantsandventures/5-questions-to-ask-yourself-before-crowdfunding,13096
0,2013-08-28,1081,5,25693557,77,49,9,http://www.slideshare.net/cfpdudg/periodismo-emprendedor-fundar-y-manejar-su-propio-medio,5398
0,2016-01-16,210,0,57116458,31,8,0,http://www.slideshare.net/OliverGuy/connected-retail-the-need-for-a-new-approach,956
0,2016-08-08,5,0,64796200,87,64,0,http://www.slideshare.net/DavidBell170/springsim-2016-data-driven-healthcare-tutorial,25
3,2015-08-18,361,255,51743343,65,34,90,http://www.slideshare.net/wearesocialsg/digital-social-mobile-in-china-in-2015,112926
11,2011-03-02,1991,77,7116266,50,17,3,http://www.slideshare.net/bharadwajchetan/an-introduction-to-cyber-law-it-act-2000-india,43797
0,2014-07-22,753,3,37225809,44,18,0,http://www.slideshare.net/KushagrJ/cocacola-distribution-strategy,7948
8,2015-05-28,443,303,48705157,58,25,185,http://www.slideshare.net/Bufferapp/the-10-best-copywriting-formulas-for-social-media-headlines,453864
69,2014-07-16,759,177,37035902,85,52,10,http://www.slideshare.net/jlpaglinawan/problems-and-issues-in-the-philippine-educational-system,136489
2,2011-12-02,1716,6,10429014,43,13,1,http://www.slideshare.net/helpingmedia/the-news-production-process-10429014,14925
0,2013-09-09,1069,4,26034479,138,111,0,http://www.slideshare.net/patrickdixonfuturist/future-of-insurance-industry-trends-keynote-for-global-insurance-conference,13628
0,2014-10-09,674,0,40058530,37,14,0,http://www.slideshare.net/TalentxTalent/talentsquare-tutorial-howto-candidates-spanish,272
0,2010-06-16,2250,5,4520110,55,27,0,http://www.slideshare.net/Christian.Brosstad/10-tips-on-social-media-and-investor-relations-christian-brosstad-12th-nordic-investor-relations-conference-stockholm-17-juni-2010,3044
3,2008-04-24,3033,11,370355,47,16,0,http://www.slideshare.net/gurustip/the-chisquared-test,51118
0,2008-05-31,2996,0,439118,32,9,0,http://www.slideshare.net/mktarcadia/s1-439118,3199
0,2016-03-22,144,1,59862488,121,97,0,http://www.slideshare.net/biztalk360/enter-the-matrix-securing-azures-assets,412
19,2016-03-02,164,517,58978215,68,34,1253,http://www.slideshare.net/Dell/ten-expert-tips-on-internet-of-things-security,58872
13,2012-04-21,1575,71,12628650,45,12,1,http://www.slideshare.net/GouthamiSridharan/sales-force-management-12628650,32673
0,2014-11-02,650,13,41010645,76,48,0,http://www.slideshare.net/markolivervillamayor/introduction-to-peace-education-by-mark-oliver-villamayor-rn,1977
20,2009-04-18,2674,301,1308824,54,21,6,http://www.slideshare.net/janehart/how-to-make-e-learning-work,69923
0,2010-12-10,2073,1,6098199,39,15,0,http://www.slideshare.net/dancingstars05/egypt-6098199,2630
13,2013-04-16,1215,71,18954410,209,176,134,http://www.slideshare.net/edsonm/the-age-of-scale-18954410,63564
11,2008-11-04,2839,785,722340,109,76,83,http://www.slideshare.net/venturehacks/customer-development-methodology-presentation,383935
0,2014-12-17,605,0,42805084,74,51,0,http://www.slideshare.net/Ksaladbits/health-resourcesslideshare,236
0,2015-12-08,249,0,55948874,91,68,16083,http://www.slideshare.net/fcerong/les-ruego-a-sus-senoras-que-intervengan-en-mi-ayuda,30895
3,2013-09-22,1056,29,26424730,59,28,2,http://www.slideshare.net/VikasSingh2/amway-26424730,25144
0,2012-02-24,1632,4,11729532,65,38,0,http://www.slideshare.net/SuchitraMankar/health-economics-what-is-it,3243
0,2008-07-18,2948,0,519386,41,18,0,http://www.slideshare.net/kathia_1987/portflio-de-aprendizagens-519386,295
1,2013-03-11,1251,16,17104939,47,17,14,http://www.slideshare.net/bestpracticesllc/psm-292-a-pharma-sales-training,13376
0,2012-03-10,1617,5,11950689,56,28,1,http://www.slideshare.net/senbisy/sales-training-11950689,7065
0,2013-01-14,1307,5,15985459,43,15,0,http://www.slideshare.net/hedaurahul/bank-and-nbfcs,12593
6,2012-11-27,1355,248,15373744,44,11,36,http://www.slideshare.net/QuintinAdamis/pitch-deck-template-by-guy-kawasaki,128293
3,2015-06-03,437,44,48957729,70,39,71,http://www.slideshare.net/mjft01/hardware-startups-the-vc-perspective,43915
0,2013-07-09,1131,0,24070112,73,50,0,http://www.slideshare.net/juanjev/sbs-heptgon-24070112,109
0,2014-04-18,848,4,33697459,53,26,0,http://www.slideshare.net/kunaldrizzy/creativity-and-innovation-in-entrepreneurship,4008
0,2014-05-22,814,23,35006780,57,29,0,http://www.slideshare.net/shrutirajendrakashyap/health-and-medicine-class-10-mcb-unit-1,22037
0,2015-01-23,568,3,43842473,1151,1125,0,http://www.slideshare.net/iALERT/cults-and-esoterica,916
0,2013-06-23,1147,16,23363313,55,27,0,http://www.slideshare.net/SonamAgarwal5/types-of-testing-23363313,19198
0,2008-03-30,3058,5,328455,108,80,0,http://www.slideshare.net/kennyong/employee-differentiation-in-successful-rewards-management-abf-compensation-and-benefits-seminar,11924
3,2012-10-19,1394,43,14803872,55,24,1,http://www.slideshare.net/rumel009/employee-safety-and-health-14803872,48242
10,2011-08-31,1809,38,9082258,93,60,2,http://www.slideshare.net/hermiraguilar/engineering-drawing-geometric-construction-lesson-4,55174
0,2009-02-25,2726,10,1070902,72,44,0,http://www.slideshare.net/soysegura/fundraising-presentation-1070902,15058
1,2014-09-09,704,4,38861271,51,23,0,http://www.slideshare.net/dennismarkdelacruz/functions-of-art,21563
4,2011-04-07,1955,74,7548376,92,60,5,http://www.slideshare.net/tsierra/project-management-basics,72721
11,2014-05-28,808,287,35222531,87,54,243,http://www.slideshare.net/bridoo/cannes-predictions2014,159621
1,2009-05-22,2640,7,1473242,44,15,0,http://www.slideshare.net/annjan/layered-architecture,13359
0,2013-10-15,1033,6,27217379,43,15,1,http://www.slideshare.net/KatrinaRodzon/fitoop-pitch-deck,2247
2,2013-08-18,1091,39,25350078,55,25,1,http://www.slideshare.net/raave78/project-glassu,22434
0,2014-04-22,844,19,33785606,77,49,0,http://www.slideshare.net/jundumaug1/foundations-of-philippine-politics-and-government-political-history,3373
0,2013-09-18,1060,13,26318276,37,9,0,http://www.slideshare.net/trheyer/heyer-pb-306090-day-plan,27914
3,2015-01-08,583,553,43316089,103,72,105,http://www.slideshare.net/WorldResources/stories-to-watch-2015-stw15,289098
9,2014-09-14,699,62,39068240,96,63,2,http://www.slideshare.net/ImJeffreyPalma/travel-agency-and-tour-operations-lecture,32115
1,2014-02-14,911,13,31214188,96,67,1,http://www.slideshare.net/jobitonio/dpa-102-philippine-administrative-system,9820
0,2013-12-23,964,23,29448566,50,22,7,http://www.slideshare.net/totango/2013-totango-annual-saas-metrics-survey,14064
0,2015-04-29,472,6,47561827,46,18,0,http://www.slideshare.net/AyishaAmatullah/16-ways-to-make-money-as-a-coach,858
8,2016-01-28,198,310,57586329,54,21,165,http://www.slideshare.net/soapcreative/2016-digital-predictions-for-marketing-tech-pop-culture-and-everything-in-between,152791
0,2011-10-28,1751,22,9927237,54,26,2,http://www.slideshare.net/operaepartners/lean-software-development-discovering-waste,13389
0,2016-04-20,115,4,61135291,35,8,1,http://www.slideshare.net/wearesocial/we-are-social-chat-bots,7474
12,2016-02-22,173,255,58538460,44,11,34,http://www.slideshare.net/ScenicAirlines/travel-tech-trends-2016,9192
23,2015-12-14,243,1028,56132575,56,22,52,http://www.slideshare.net/paulgordonbrown/the-future-of-education-is-digital,40311
0,2009-07-28,2573,1,1779593,39,15,0,http://www.slideshare.net/MarcoRoos/cwa-swat4-ls-pitch-dils2009,4021
3,2011-06-01,1900,13,8170133,83,52,0,http://www.slideshare.net/afcab/political-and-administrative-structure,16534
1,2012-05-27,1539,31,13092635,54,25,0,http://www.slideshare.net/anuragme1/an-introduction-to-project-finance,10826
