Work_State,Job_Per_10000
Alabama,1.1031124028319481
Alaska,1.0833766684000699
American Samoa,0.36023703596966805
Arizona,2.973023836181913
Arkansas,1.9844174542778006
California,9.830675416605082
Colorado,3.243793633147709
Connecticut,11.250705257699703
Delaware,17.40079117570548
District Of Columbia,26.241096770738615
Federated States Of Micronesia,0.19314527421800307
Florida,5.931053561906464
Georgia,6.288877184807416
Guam,2.886582411927862
Hawaii,2.1095233804343905
Idaho,0.9305529539013756
Illinois,8.407468276620667
Indiana,2.2478427960264304
Iowa,2.807389099327501
Kansas,2.253025012355583
Kentucky,1.6022265751762717
Louisiana,1.100471789812459
Maine,2.0837596138800927
Marshall Islands,0.18999126040202152
Maryland,7.345496912376727
Massachusetts,11.525630877801344
Michigan,3.87903302529535
Minnesota,5.33554940492849
Mississippi,0.571460462455215
Missouri,3.0491453188139026
Montana,0.3388357024402949
Nebraska,3.475390124407334
Nevada,1.9129354911799274
New Hampshire,4.464124670827225
New Jersey,24.44180422600538
New Mexico,0.7337745892420978
New York,13.216951017512415
North Carolina,4.037717760441635
North Dakota,1.4268218731793125
Northern Mariana Islands,0.18558729098231355
Ohio,3.7224167241651243
Oklahoma,1.5646819579386992
Oregon,1.8987450164148507
Palau,0.4780571756382063
Pennsylvania,4.576448839730949
Puerto Rico,0.37706717725208394
Rhode Island,7.3180106371496745
South Carolina,1.4970958790852913
South Dakota,0.8387023876226163
Tennessee,2.752905588064986
Texas,6.068634030208179
Utah,1.895912406176547
Vermont,1.469549966296192
Virgin Islands,5.074949485456506
Virginia,11.887162496736286
Washington,6.243766867200132
West Virginia,0.4392319838969972
Wisconsin,2.9923742106898525
Wyoming,0.3753580830803932
